"site" "tree" "height" "id" "sp" "sample" "code_habit1" "Ramicaule" "Pseudobulb" "Monopodial" "LeafyStem" "empty" "habit1"
"190" "LH" "F06" "E2" "410" "Cryptocentrum latifolium" "F06_E2" "3" "0" "0" "1" "0" "0" "Monopodial"
"191" "LH" "F06" "E2" "411" "Stelis spathulata" "F06_E2" "5" "1" "0" "0" "0" "0" "Ramicaule"
"192" "LH" "F06" "E2" "412" "Stelis spathulata" "F06_E2" "5" "1" "0" "0" "0" "0" "Ramicaule"
"193" "LH" "F06" "E2" "413" "Restrepia antennifera" "F06_E2" "5" "1" "0" "0" "0" "0" "Ramicaule"
"194" "LH" "F06" "E2" "414" "Restrepia antennifera" "F06_E2" "5" "1" "0" "0" "0" "0" "Ramicaule"
"195" "LH" "F06" "E2" "415" "Dichaea pendula" "F06_E2" "2" "0" "0" "0" "1" "0" "Leafy stem"
"196" "LH" "F06" "E2" "416" "Restrepia antennifera" "F06_E2" "5" "1" "0" "0" "0" "0" "Ramicaule"
"197" "LH" "F06" "E2" "417" "Dichaea pendula" "F06_E2" "2" "0" "0" "0" "1" "0" "Leafy stem"
"198" "LH" "F06" "E2" "418" "Lepanthes sp.3" "F06_E2" "5" "1" "0" "0" "0" "0" "Ramicaule"
"199" "LH" "F09" "E4" "300" "Stelis spathulata" "F09_E4" "5" "1" "0" "0" "0" "0" "Ramicaule"
"200" "LH" "F09" "E4" "302" "Stelis spathulata" "F09_E4" "5" "1" "0" "0" "0" "0" "Ramicaule"
"201" "LH" "F09" "E4" "303" "Restrepia antennifera" "F09_E4" "5" "1" "0" "0" "0" "0" "Ramicaule"
"202" "LH" "F09" "E4" "304" "Restrepia antennifera" "F09_E4" "5" "1" "0" "0" "0" "0" "Ramicaule"
"203" "LH" "F09" "E4" "305" "Restrepia antennifera" "F09_E4" "5" "1" "0" "0" "0" "0" "Ramicaule"
"204" "LH" "F09" "E4" "306" "Oncidium pictum" "F09_E4" "4" "0" "1" "0" "0" "0" "Pseudobulb"
"205" "LH" "F09" "E4" "307" "Stelis argentata" "F09_E4" "5" "1" "0" "0" "0" "0" "Ramicaule"
"206" "LH" "F09" "E5" "309" "Dichaea hystricina" "F09_E5" "2" "0" "0" "0" "1" "0" "Leafy stem"
"207" "LH" "F09" "E5" "310" "Dichaea hystricina" "F09_E5" "2" "0" "0" "0" "1" "0" "Leafy stem"
"208" "LH" "F09" "E5" "311" "Dichaea hystricina" "F09_E5" "2" "0" "0" "0" "1" "0" "Leafy stem"
"209" "LH" "F09" "E5" "312" "Restrepia antennifera" "F09_E5" "5" "1" "0" "0" "0" "0" "Ramicaule"
"210" "LH" "F09" "E5" "313" "Restrepia antennifera" "F09_E5" "5" "1" "0" "0" "0" "0" "Ramicaule"
"211" "LH" "F09" "E5" "314" "Restrepia antennifera" "F09_E5" "5" "1" "0" "0" "0" "0" "Ramicaule"
"212" "LH" "F09" "E5" "315" "Restrepia antennifera" "F09_E5" "5" "1" "0" "0" "0" "0" "Ramicaule"
"213" "LH" "F09" "E5" "316" "Stelis spathulata" "F09_E5" "5" "1" "0" "0" "0" "0" "Ramicaule"
"214" "LH" "F09" "E5" "317" "Stelis spathulata" "F09_E5" "5" "1" "0" "0" "0" "0" "Ramicaule"
